campus_name,campus_location,students,community_type,campus_type,research,community,liberal_arts,religious,rating
West Chester University of Pennsylvania,"West Chester, PA",17552,small town,public,yes,no,no,no,4
William Paterson University of New Jersey,"Wayne, NJ",8000,small city,public,no,no,no,no,4.5
Gallaudet University,"Washington, DC",1454,large urban city,private,yes,no,yes,no,3.5
Whitman College,"Walla Walla, WA",1493,small city,private,no,no,yes,no,3
University of Wisconsin-Stevens Point,"Stevens Point, WI",8900,small city,public,no,no,yes,no,4.5
Georgia Southern University,"Statesboro, GA",21000,small town,public,yes,no,no,no,3.5
Susquehanna University,"Selinsgrove, PA",2300,very small town,private,no,no,yes,no,3
Dominican University of California,"San Rafael, CA",1531,small city,private,no,no,yes,no,3
Texas State University,"San Marcos, TX",38000,small city,NA,yes,no,no,no,3.5
Skyline College,"San Bruno, CA",5599,small city,public,no,yes,no,no,3
Salt Lake Community College,"Salt Lake City, UT",16158,large urban city,NA,no,yes,no,no,4
Catawba College,"Salisbury, NC",1200,rural community,private,no,no,yes,yes,2
Nazareth College,"Rochester, NY",3000,small town,private,yes,no,yes,no,4
Rhode Island College,"Providence, RI",5776,medium city,public,no,no,yes,no,2.5
Big Sandy Community and Technical College,"Prestonsburg, KY",1193,rural community,NA,no,yes,no,no,2.5
Dutchess Community College,"Poughkeepsie, NY",6500,medium city,NA,no,yes,no,no,3.5
California State Polytechnic University-Pomona,"Pomona, CA",23717,medium city,public,no,no,no,no,3.5
Diablo Valley College,"Pleasant Hill, CA",7854,small city,NA,no,yes,no,no,1.5
Point Park University,"Pittsburgh, PA",4000,medium city,private,yes,no,yes,no,3
Bergen Community College,"Paramus, NJ",14585,large urban city,NA,no,yes,no,no,4.5
Miami University-Oxford,"Oxford, OH",24000,small town,public,yes,no,no,no,4.5
Butte College,"Oroville, CA",4816,small town,NA,no,yes,no,no,3.5
Wheaton College,"Norton, MA",1700,small town,private,no,no,yes,no,4.5
University of Oklahoma-Norman Campus,"Norman, OK",25829,medium city,public,yes,no,yes,no,4
Norco College,"Norco, CA",10000,small town,NA,no,yes,no,no,3
Milwaukee Institute of Art & Design,"Milwaukee, WI",900,large urban city,private,no,no,no,no,4
Allegheny College,"Meadville, PA",1800,small town,private,no,no,yes,no,4.5
Ramapo College of New Jersey,"Mahwah, NJ",5041,small city,public,no,no,yes,no,4
Drew University,"Madison, NJ",2100,small town,private,no,no,yes,no,4.5
Dakota State University,"Madison, SD",3100,very small town,public,yes,no,no,no,2
Randolph College,"Lynchburg, VA",650,rural community,NA,no,no,yes,no,3
Otis College of Art and Design,"Los Angeles, CA",1100,large urban city,private,no,no,no,no,4
Dickinson College,"Carlisle, PA",2400,small town,private,no,no,yes,no,4.5
University of Northern Colorado,"Greeley, CO",11114,medium city,public,yes,no,no,no,5
University of North Carolina at Charlotte,"Charlotte, NC",22968,large urban city,public,yes,no,no,no,3.5
University of Nebraska at Kearney,"Kearney, NE",6232,small city,public,yes,no,no,no,5
California State University-Bakersfield,"Bakersfield, CA",7000,medium city,public,no,no,no,no,3.5
Suffolk University,"Boston, MA",7288,large urban city,private,yes,no,no,no,3.5
Wayne State University,"Detroit, MI",26251,large urban city,public,yes,no,no,no,4.5
Western Colorado University,"Gunnison, CO",3040,very small town,public,no,no,yes,no,3
Wentworth Institute of Technology,"Boston, MA",5000,large urban city,private,no,no,no,no,4.5
Sacred Heart University,"Fairfield, CT",10216,small city,private,yes,no,no,yes,4
Henry Ford Community College,"Dearborn, MI",13000,small city,NA,no,yes,yes,no,2.5
Xavier University,"Cincinnati, OH",6738,medium city,private,yes,no,no,yes,3
Haverford College,"Haverford, PA",1400,small city,private,no,no,yes,no,3
The College of Idaho,"Caldwell, ID",987,very small town,NA,no,no,yes,no,2.5
University of Central Arkansas,"Conway, AR",12000,small city,public,yes,no,no,no,2
Camden County College,"Blackwood, NJ",6425,rural community,NA,no,yes,no,no,2.5
Western Kentucky University,"Bowling Green, KY",13228,small city,public,yes,no,no,no,4.5
University of Pittsburgh-Main Campus,"Pittsburgh, PA",25069,medium city,NA,yes,no,no,no,5
Binghamton University SUNY,"Binghamton, NY",18000,small city,NA,yes,no,no,no,4.5
Stockton University,"Galloway, NJ",9080,small city,public,yes,no,yes,no,4.5
Kutztown University,"Kutztown, PA",8000,very small town,public,yes,no,yes,no,4
East Carolina University,"Greenville, NC",29131,small city,public,yes,no,no,no,4.5
Southern New Hampshire University,"Manchester, NH",3400,medium city,private,no,no,no,no,3.5
Cuyahoga Community College Metro Campus,"Cleveland, OH",3094,medium city,NA,no,yes,no,no,3
Cuyahoga Community College Western Campus,"Parma, OH",7000,small city,NA,no,yes,no,no,3
Cuyahoga Community College Eastern Campus,"Highland Hills, OH",3394,small town,NA,no,yes,no,no,3
Cuyahoga Community College Westshore Campus,"Westlake, OH",2183,small city,NA,no,yes,no,no,3
Ferris State University,"Big Rapids, MI",10222,small town,public,no,no,no,no,3.5
University of Toledo,"Toledo, OH",23000,medium city,public,yes,no,no,no,4
Bates College,"Lewiston, ME",1800,small city,NA,no,no,yes,no,3.5
Missouri Science & Technology,"Rolla, MO",9000,small town,public,yes,no,no,no,3
Forsyth Technical Community College,"Winston-Salem, NC",2890,medium city,NA,no,yes,no,no,4
Woodbury University,"Burbank, CA",1132,medium city,private,no,no,yes,no,3
University of Texas Arlington,"Arlington, TX",47000,medium city,public,yes,no,no,no,5
University of Arkansas at Little Rock,"Little Rock, AR",6712,medium city,public,yes,no,yes,no,2.5
Linfield University,"McMinnville, OR",1750,small city,private,no,no,yes,no,3
Bluegrass Community & Technical College (BCTC),"Lexington, KY",14500,medium city,NA,no,yes,no,no,4
Hartwick College,"Oneonta, NY",1100,small town,private,no,no,yes,no,3.5
